dataset,image_id,file_name,s3_uri
coco,391895,000000391895.jpg,
coco,522418,000000522418.jpg,
coco,184613,000000184613.jpg,
coco,318219,000000318219.jpg,
coco,554625,000000554625.jpg,
coco,574769,000000574769.jpg,
coco,60623,000000060623.jpg,
coco,309022,000000309022.jpg,
coco,5802,000000005802.jpg,
coco,222564,000000222564.jpg,
coco,118113,000000118113.jpg,
coco,193271,000000193271.jpg,
coco,224736,000000224736.jpg,
coco,483108,000000483108.jpg,
coco,403013,000000403013.jpg,
coco,374628,000000374628.jpg,
coco,328757,000000328757.jpg,
coco,384213,000000384213.jpg,
coco,293802,000000293802.jpg,
coco,86408,000000086408.jpg,
coco,372938,000000372938.jpg,
coco,386164,000000386164.jpg,
coco,223648,000000223648.jpg,
coco,204805,000000204805.jpg,
coco,113588,000000113588.jpg,
coco,384553,000000384553.jpg,
coco,337264,000000337264.jpg,
coco,368402,000000368402.jpg,
coco,12448,000000012448.jpg,
coco,79841,000000079841.jpg,
coco,515289,000000515289.jpg,
coco,562150,000000562150.jpg,
coco,542145,000000542145.jpg,
coco,412151,000000412151.jpg,
coco,579003,000000579003.jpg,
coco,540186,000000540186.jpg,
coco,242611,000000242611.jpg,
coco,51191,000000051191.jpg,
coco,269105,000000269105.jpg,
coco,294832,000000294832.jpg,
coco,462565,000000462565.jpg,
coco,144941,000000144941.jpg,
coco,173350,000000173350.jpg,
coco,60760,000000060760.jpg,
coco,324266,000000324266.jpg,
coco,166532,000000166532.jpg,
coco,262284,000000262284.jpg,
coco,360772,000000360772.jpg,
coco,191381,000000191381.jpg,
coco,111076,000000111076.jpg,
coco,340559,000000340559.jpg,
coco,258985,000000258985.jpg,
coco,509822,000000509822.jpg,
coco,321107,000000321107.jpg,
coco,229643,000000229643.jpg,
coco,125059,000000125059.jpg,
coco,455483,000000455483.jpg,
coco,436141,000000436141.jpg,
coco,129001,000000129001.jpg,
coco,232262,000000232262.jpg,
coco,61181,000000061181.jpg,
coco,166323,000000166323.jpg,
coco,580041,000000580041.jpg,
coco,326781,000000326781.jpg,
coco,387362,000000387362.jpg,
coco,138079,000000138079.jpg,
coco,556616,000000556616.jpg,
coco,472621,000000472621.jpg,
coco,192440,000000192440.jpg,
coco,86320,000000086320.jpg,
coco,256668,000000256668.jpg,
coco,383445,000000383445.jpg,
coco,565797,000000565797.jpg,
coco,81922,000000081922.jpg,
coco,50125,000000050125.jpg,
coco,364521,000000364521.jpg,
coco,394892,000000394892.jpg,
coco,1146,000000001146.jpg,
coco,310391,000000310391.jpg,
coco,97434,000000097434.jpg,
coco,463836,000000463836.jpg,
coco,241876,000000241876.jpg,
coco,156832,000000156832.jpg,
coco,270721,000000270721.jpg,
coco,462341,000000462341.jpg,
coco,310103,000000310103.jpg,
coco,32992,000000032992.jpg,
coco,122851,000000122851.jpg,
coco,540763,000000540763.jpg,
coco,138246,000000138246.jpg,
coco,197254,000000197254.jpg,
coco,32907,000000032907.jpg,
coco,251252,000000251252.jpg,
coco,37675,000000037675.jpg,
coco,159537,000000159537.jpg,
coco,268556,000000268556.jpg,
coco,271177,000000271177.jpg,
coco,75051,000000075051.jpg,
coco,549399,000000549399.jpg,
coco,85160,000000085160.jpg,
coco,559665,000000559665.jpg,
coco,19358,000000019358.jpg,
coco,459912,000000459912.jpg,
coco,15827,000000015827.jpg,
coco,394240,000000394240.jpg,
coco,510755,000000510755.jpg,
coco,175831,000000175831.jpg,
coco,79472,000000079472.jpg,
coco,250108,000000250108.jpg,
coco,315601,000000315601.jpg,
coco,437218,000000437218.jpg,
coco,503707,000000503707.jpg,
coco,74331,000000074331.jpg,
coco,579664,000000579664.jpg,
coco,369763,000000369763.jpg,
coco,199951,000000199951.jpg,
coco,452684,000000452684.jpg,
coco,213687,000000213687.jpg,
coco,108094,000000108094.jpg,
coco,527040,000000527040.jpg,
coco,350341,000000350341.jpg,
coco,550529,000000550529.jpg,
coco,432176,000000432176.jpg,
coco,281533,000000281533.jpg,
coco,369826,000000369826.jpg,
coco,551334,000000551334.jpg,
coco,291380,000000291380.jpg,
coco,368978,000000368978.jpg,
coco,77123,000000077123.jpg,
coco,513681,000000513681.jpg,
coco,437370,000000437370.jpg,
coco,78371,000000078371.jpg,
coco,560623,000000560623.jpg,
coco,289173,000000289173.jpg,
coco,52759,000000052759.jpg,
coco,568623,000000568623.jpg,
coco,128939,000000128939.jpg,
coco,339974,000000339974.jpg,
coco,561100,000000561100.jpg,
coco,150410,000000150410.jpg,
coco,9426,000000009426.jpg,
coco,14869,000000014869.jpg,
coco,281221,000000281221.jpg,
coco,108169,000000108169.jpg,
coco,440575,000000440575.jpg,
coco,354533,000000354533.jpg,
coco,545959,000000545959.jpg,
coco,511058,000000511058.jpg,
coco,91227,000000091227.jpg,
coco,242139,000000242139.jpg,
coco,334321,000000334321.jpg,
coco,381021,000000381021.jpg,
coco,170629,000000170629.jpg,
coco,207797,000000207797.jpg,
coco,179558,000000179558.jpg,
coco,368117,000000368117.jpg,
coco,15085,000000015085.jpg,
coco,467522,000000467522.jpg,
coco,40102,000000040102.jpg,
coco,403020,000000403020.jpg,
coco,6005,000000006005.jpg,
coco,219514,000000219514.jpg,
coco,521634,000000521634.jpg,
coco,125476,000000125476.jpg,
coco,402559,000000402559.jpg,
coco,484816,000000484816.jpg,
coco,165547,000000165547.jpg,
coco,81561,000000081561.jpg,
coco,227125,000000227125.jpg,
coco,189550,000000189550.jpg,
coco,212663,000000212663.jpg,
coco,476005,000000476005.jpg,
coco,505440,000000505440.jpg,
coco,67868,000000067868.jpg,
coco,450263,000000450263.jpg,
coco,241691,000000241691.jpg,
coco,450500,000000450500.jpg,
coco,545293,000000545293.jpg,
coco,232894,000000232894.jpg,
coco,439969,000000439969.jpg,
coco,29913,000000029913.jpg,
coco,410437,000000410437.jpg,
coco,455859,000000455859.jpg,
coco,235302,000000235302.jpg,
coco,431573,000000431573.jpg,
coco,290570,000000290570.jpg,
coco,127474,000000127474.jpg,
coco,28758,000000028758.jpg,
coco,163020,000000163020.jpg,
coco,332654,000000332654.jpg,
coco,281455,000000281455.jpg,
coco,38029,000000038029.jpg,
coco,17756,000000017756.jpg,
coco,380932,000000380932.jpg,
coco,155885,000000155885.jpg,
coco,231408,000000231408.jpg,
coco,305821,000000305821.jpg,
coco,459374,000000459374.jpg,
coco,190056,000000190056.jpg,
coco,176649,000000176649.jpg,
coco,121041,000000121041.jpg,
coco,156397,000000156397.jpg,
coco,173574,000000173574.jpg,
coco,236182,000000236182.jpg,
coco,208589,000000208589.jpg,
coco,334405,000000334405.jpg,
coco,267571,000000267571.jpg,
coco,73830,000000073830.jpg,
coco,158952,000000158952.jpg,
coco,82258,000000082258.jpg,
coco,308599,000000308599.jpg,
coco,351053,000000351053.jpg,
coco,157269,000000157269.jpg,
coco,495612,000000495612.jpg,
coco,95022,000000095022.jpg,
coco,570045,000000570045.jpg,
coco,191501,000000191501.jpg,
coco,216482,000000216482.jpg,
coco,358342,000000358342.jpg,
coco,8665,000000008665.jpg,
coco,125997,000000125997.jpg,
coco,69911,000000069911.jpg,
coco,573291,000000573291.jpg,
